nb	X	Y	Curv.
0	90.08746365438473	49.87668837337118	0.010464214689345405
1	90.01301534322319	51.80359240358042	0.010444154742010736
2	89.86089145964965	53.72912437826735	0.010396468758866335
3	89.63117459912303	55.65213511399042	0.01032496136816916
4	89.3239973145786	57.57127939486896	0.010235294253887181
5	88.93955125721958	59.4849488745167	0.010134487309200876
6	88.4780988242791	61.39121570938337	0.009981438346137737
7	87.93998683834181	63.28778922186386	0.009881956768048913
8	87.3256616999864	65.17198735969056	0.00979744606977021
9	86.63568539543407	67.04072411613785	0.009734617097817892
10	85.87075170591552	68.89051342896745	0.009698973009567177
11	85.031701956894	70.71748941217986	0.009694632428549238
12	84.1195396632816	72.51744212148205	0.009724240958319056
13	83.13544347042107	74.28586743932269	0.009788945741268856
14	82.08077785786278	76.01802911400031	0.009888410202442572
15	80.95710116085793	77.7090305224619	0.010020853071366409
16	79.76617056917324	79.35389336687176	0.010183105044317417
17	78.50994387980136	80.94764027510189	0.010370686027203065
18	77.19057790439845	82.4853781639772	0.010577914035226474
19	75.81042355858138	83.9623792448182	0.010798061995079546
20	74.37201778327498	85.37415670124876	0.01102357960237043
21	72.87807256303408	86.71653234150264	0.011246393111843082
22	71.3314614079996	87.98569390848833	0.011458286250443619
23	69.73520375082789	89.17824020300763	0.011651351188595067
24	68.09244777427858	90.29121271733067	0.011818481865898123
25	66.40645222679855	91.32211306357524	0.011953866365971663
26	64.68056780104642	92.2689060880617	0.012053424512331795
27	62.91821864357136	93.13000916250036	0.012115134979730805
28	61.122884533553226	93.90426870960643	0.012139204828069607
29	59.2980842164071	94.59092553036854	0.01212805269902354
30	57.447360306852495	95.18957093136248	0.012086101510404046
31	55.574266089237696	95.70009598555818	0.012019402093762087
32	53.6823544446126	96.12263648584202	0.011935130399909948
33	51.7751690288189	96.45751625879676	0.011841013646740266
34	49.85623771850335	96.70519149429983	0.011744743613882284
35	47.92906823726342	96.86619861676155	0.011653429327152616
36	45.99714577670958	96.94110798409174	0.011573129607751352
37	44.0639323412778	96.93048536334537	0.011508492018573823
